Run	algae	Syringe	Tot_gas	CH4_ml	CH4_p
1	TMR	4	45.1	7.6	18.7
1	TMR	25	44.8	7.6	19
1	TMR	35	46.1	7.3	17.8
2	TMR	24	46	7.1	17.7
2	TMR	35	46.4	7.1	17.6
2	TMR	36	45.8	7	17.4
3	TMR	3	44.3	7	17.9
3	TMR	4	44.3	6.9	17.6
3	TMR	32	45.6	7.2	17.7
4	TMR	3	46.2	7.5	18.1
4	TMR	34	43.3	7	17.9
1	AN1	12	41.2	6.8	18.4
1	AN1	46	42.4	6.6	17.5
2	AN1	15	42.7	6.5	17.3
2	AN1	28	42.7	6.5	17.3
3	AN1	6	41.3	6.5	17.6
3	AN1	46	43.2	6.3	16.5
4	AN1	18	39.4	6.3	17.6
4	AN1	32	41.5	6.5	17.4
1	AN2	36	43	6.9	17.9
1	AN2	37	44.3	7.1	17.8
2	AN2	10	43.9	6.8	17.7
2	AN2	13	43.3	6.7	17.6
3	AN2	5	42.8	6.8	17.8
3	AN2	17	41	6.3	17.4
4	AN2	22	41.5	6.6	17.5
4	AN2	40	40.9	6.5	17.5
1	AT	7	41.1	6	16.4
1	AT	42	39.6	2.6	7.5
2	AT	1	34.5	2.7	9.1
2	AT	33	42.6	-1.5	-3.9
3	AT	22	38.2	-0.4	-1.1
3	AT	38	34.1	2.6	8.5
4	AT	11	35.1	0.1	0.4
4	AT	12	35.1	3.5	11.2
1	FV1	3	40.9	6.6	18.1
1	FV1	24	42.2	7	18.5
2	FV1	8	44	6.6	17.2
2	FV1	12	44.3	6.7	17.3
3	FV1	15	39.8	6.3	17.9
3	FV1	34	42.6	6.4	17
4	FV1	16	41.5	6.7	17.8
4	FV1	27	42.1	6.7	17.5
1	FV2	1	40.3	6.7	18.7
1	FV2	2	39.3	6.6	18.9
2	FV2	17	43.9	6.6	17.2
2	FV2	27	38.3	6	17.8
3	FV2	18	41.3	6.4	17.4
3	FV2	20	42.8	6.6	17.2
4	FV2	1	39.7	6.4	17.8
4	FV2	35	38.8	6.1	17.5
