	Feature	KW	Group1	Group2	p	q
0	Lachnospiraceae	1.2083998089075765e-08	FR	FL	5.893231428214656e-07	3.5359388569287935e-06
1	Lachnospiraceae	1.2083998089075765e-08	FR	RSP	0.016973729025006323	0.020368474830007588
2	Lachnospiraceae	1.2083998089075765e-08	FR	RF	0.14394704227229013	0.14394704227229013
3	Lachnospiraceae	1.2083998089075765e-08	FL	RSP	1.6451806061272365e-05	4.9355418183817094e-05
4	Lachnospiraceae	1.2083998089075765e-08	FL	RF	0.003362337326265406	0.00504350598939811
5	Lachnospiraceae	1.2083998089075765e-08	RSP	RF	0.0005320055051392492	0.0010640110102784984
6	Cryptobacteroides	5.833047356714816e-19	FR	FL	4.602664792192742e-17	2.7615988753156455e-16
7	Cryptobacteroides	5.833047356714816e-19	FR	RSP	7.186812850133294e-06	1.4373625700266589e-05
8	Cryptobacteroides	5.833047356714816e-19	FR	RF	2.377241776577396e-06	7.131725329732188e-06
9	Cryptobacteroides	5.833047356714816e-19	FL	RSP	2.5018119029164336e-05	3.752717854374651e-05
10	Cryptobacteroides	5.833047356714816e-19	FL	RF	0.10535133511928137	0.10535133511928137
11	Cryptobacteroides	5.833047356714816e-19	RSP	RF	0.0007574950058146062	0.0009089940069775275
12	Bacteroidales (UBA1711)	1.575242920846023e-11	FR	FL	6.031254919569183e-11	3.61875295174151e-10
13	Bacteroidales (UBA1711)	1.575242920846023e-11	FR	RSP	0.044929692665679616	0.05391563119881554
14	Bacteroidales (UBA1711)	1.575242920846023e-11	FR	RF	0.7294991765334871	0.7294991765334871
15	Bacteroidales (UBA1711)	1.575242920846023e-11	FL	RSP	0.0025236667291645104	0.003785500093746766
16	Bacteroidales (UBA1711)	1.575242920846023e-11	FL	RF	1.4701607930829335e-05	4.4104823792488004e-05
17	Bacteroidales (UBA1711)	1.575242920846023e-11	RSP	RF	0.0010692127549193759	0.0021384255098387517
18	Treponema (D)	3.671312496651233e-14	FR	FL	1.451420514584149e-13	8.708523087504893e-13
19	Treponema (D)	3.671312496651233e-14	FR	RSP	0.48874259122991615	0.48874259122991615
20	Treponema (D)	3.671312496651233e-14	FR	RF	0.00015594835142239478	0.00031189670284478957
21	Treponema (D)	3.671312496651233e-14	FL	RSP	3.40716162169037e-05	0.00010221484865071111
22	Treponema (D)	3.671312496651233e-14	FL	RF	0.019199666902572056	0.023039600283086468
23	Treponema (D)	3.671312496651233e-14	RSP	RF	0.0020755629257427034	0.003113344388614055
24	Limosilactobacillus	9.214784885961505e-20	FR	FL	1.9482631748541707e-16	1.1689579049125025e-15
25	Limosilactobacillus	9.214784885961505e-20	FR	RSP	7.091767809503153e-06	8.510121371403784e-06
26	Limosilactobacillus	9.214784885961505e-20	FR	RF	2.3762999426368744e-06	4.752599885273749e-06
27	Limosilactobacillus	9.214784885961505e-20	FL	RSP	6.849800344443502e-06	8.510121371403784e-06
28	Limosilactobacillus	9.214784885961505e-20	FL	RF	2.2773994430755276e-06	4.752599885273749e-06
29	Limosilactobacillus	9.214784885961505e-20	RSP	RF	0.042161257249026016	0.042161257249026016
30	Limimorpha	6.34644615254098e-17	FR	FL	7.775271593676275e-15	4.665162956205765e-14
31	Limimorpha	6.34644615254098e-17	FR	RSP	7.184082964973481e-06	1.4368165929946963e-05
32	Limimorpha	6.34644615254098e-17	FR	RF	2.3762999426368744e-06	7.128899827910623e-06
33	Limimorpha	6.34644615254098e-17	FL	RSP	0.0013375150010431016	0.001605018001251722
34	Limimorpha	6.34644615254098e-17	FL	RF	0.00023638163651872298	0.0003545724547780845
35	Limimorpha	6.34644615254098e-17	RSP	RF	0.4414183267820554	0.4414183267820554
36	Lactobacillus	3.769038319949434e-20	FR	FL	5.223940818972869e-17	3.1343644913837217e-16
37	Lactobacillus	3.769038319949434e-20	FR	RSP	7.184082964973481e-06	8.620899557968178e-06
38	Lactobacillus	3.769038319949434e-20	FR	RF	2.377241776577396e-06	4.754483553154792e-06
39	Lactobacillus	3.769038319949434e-20	FL	RSP	6.934512205319206e-06	8.620899557968178e-06
40	Lactobacillus	3.769038319949434e-20	FL	RF	2.278258403619685e-06	4.754483553154792e-06
41	Lactobacillus	3.769038319949434e-20	RSP	RF	0.12273662003450421	0.12273662003450421
42	Prevotella	9.348996355714168e-18	FR	FL	2.1062760813104426e-15	1.2637656487862656e-14
43	Prevotella	9.348996355714168e-18	FR	RSP	0.00023654341705708063	0.000354815125585621
44	Prevotella	9.348996355714168e-18	FR	RF	2.377241776577396e-06	4.754483553154792e-06
45	Prevotella	9.348996355714168e-18	FL	RSP	0.006605619138061526	0.006605619138061526
46	Prevotella	9.348996355714168e-18	FL	RF	2.278258403619685e-06	4.754483553154792e-06
47	Prevotella	9.348996355714168e-18	RSP	RF	0.0005320055051392492	0.000638406606167099
