	EB_ratios	Run	Trt	residual	fitted_values
s123	0.00016244782375846945	rstc_run2	TMR	-1.0775789342294792e-05	0.00017322361310076424
s124	9.131659732872096e-05	rstc_run2	TMR	-8.190701577204329e-05	0.00017322361310076424
s125	0.00027554964047860075	rstc_run2	AN1	3.585883844730084e-05	0.0002396908020312999
s126	0.00024263791342810792	rstc_run2	AN1	2.947111396808008e-06	0.0002396908020312999
s127	0.00014551519124047808	rstc_run2	AN2	-4.809374463596316e-05	0.00019360893587644124
s128	0.00018618827412197967	rstc_run2	AN2	-7.420661754461565e-06	0.00019360893587644124
s129	0.00032731457614550857	rstc_run2	AT	4.890540419879457e-05	0.000278409171946714
s130	0.0003010099982137914	rstc_run2	AT	2.260082626707739e-05	0.000278409171946714
s131	0.00020492066268989846	rstc_run2	FV1	9.480090277748382e-06	0.00019544057241215008
s132	0.00017171387379916664	rstc_run2	FV1	-2.3726698612983445e-05	0.00019544057241215008
s133	0.000164503373222247	rstc_run2	FV2	-2.7532868821268842e-05	0.00019203624204351585
s134	0.00027170075039480206	rstc_run2	FV2	7.966450835128621e-05	0.00019203624204351585
s44	0.00012290555276232712	rstc_run1	TMR	2.1400254006103875e-05	0.00010150529875622325
s45	0.00017278784986445736	rstc_run1	TMR	7.128255110823411e-05	0.00010150529875622325
s46	0.00015512883601382334	rstc_run1	AN1	-1.2843651672935597e-05	0.00016797248768675893
s47	0.00014201018951558566	rstc_run1	AN1	-2.5962298171173278e-05	0.00016797248768675893
s48	0.00012409849083488034	rstc_run1	AN2	2.207869302980092e-06	0.00012189062153190025
s49	0.00017519715861934496	rstc_run1	AN2	5.330653708744472e-05	0.00012189062153190025
s50	0.0001993136272287852	rstc_run1	AT	-7.377230373387827e-06	0.00020669085760217302
s51	0.00014256185750968902	rstc_run1	AT	-6.4129000092484e-05	0.00020669085760217302
s52	0.00013327045127839936	rstc_run1	FV1	9.54819321079026e-06	0.0001237222580676091
s53	0.00012842067319205418	rstc_run1	FV1	4.698415124445074e-06	0.0001237222580676091
s54	0.00010925385943977856	rstc_run1	FV2	-1.106406825919631e-05	0.00012031792769897487
s55	7.925035642815404e-05	rstc_run1	FV2	-4.106757127082083e-05	0.00012031792769897487
