	ratios	Run	Trt	residual	fitted_values
s123	14.748757984386456	rstc_run2	TMR	-7.243942181694932	21.992700166081388
s124	21.99557522124292	rstc_run2	TMR	0.0028750551615317477	21.992700166081388
s125	24.408376963348765	rstc_run2	AN1	6.861428913907858	17.546948049440907
s126	18.984590429849142	rstc_run2	AN1	1.437642380408235	17.546948049440907
s127	15.29160530191692	rstc_run2	AN2	-0.044490769561218	15.336096071478138
s128	17.432681242810283	rstc_run2	AN2	2.096585171332144	15.336096071478138
s129	7.681818181820817	rstc_run2	AT	0.21315734368377637	7.4686608381370405
s130	0.16681127375520421	rstc_run2	AT	-7.301849564381836	7.4686608381370405
s131	16.3153153153164	rstc_run2	FV1	-1.621527827430409	17.93684314274681
s132	25.20164986251754	rstc_run2	FV1	7.264806719770732	17.93684314274681
s133	21.174196351000415	rstc_run2	FV2	7.642239637128835	13.53195671387158
s134	4.225031835546886	rstc_run2	FV2	-9.306924878324693	13.53195671387158
s44	16.225319396051493	rstc_run1	TMR	3.5442749556947604	12.681044440356732
s45	16.377836611195374	rstc_run1	TMR	3.6967921708386413	12.681044440356732
s46	4.171513353116009	rstc_run1	AN1	-4.063778970600242	8.235292323716251
s47	4.000000000000403	rstc_run1	AN1	-4.235292323715848	8.235292323716251
s48	4.891819571865624	rstc_run1	AN2	-1.1326207738878589	6.024440345753483
s49	5.104966717870424	rstc_run1	AN2	-0.9194736278830593	6.024440345753483
s50	2.075268817204339	rstc_run1	AT	3.918263704791954	-1.842994887587615
s51	1.3274336283184807	rstc_run1	AT	3.170428515906096	-1.842994887587615
s52	6.650945314088732	rstc_run1	FV1	-1.974242102933422	8.625187417022154
s53	4.956150627615255	rstc_run1	FV1	-3.669036789406899	8.625187417022154
s54	4.4316190868804215	rstc_run1	FV2	0.21131809873349816	4.220300988146923
s55	5.6736681306092995	rstc_run1	FV2	1.4533671424623762	4.220300988146923
