	coef	std err	t	P>|t|	Conf. Int. Low	Conf. Int. Upp.	pvalue-fdr_bh	reject-fdr_bh
rstc_run2-rstc_run1	-0.00033588285817251864	0.00048346304180114165	-0.6947436083659818	0.4966024494395419	-0.0013559007150711817	0.0006841349987261443	0.4966024494395419	False
AN2-AN1	-8.928077117718088e-06	0.0008373825519813733	-0.010661885773226243	0.991617330199396	-0.0017756508298937225	0.0017577946756582863	0.991617330199396	False
AT-AN1	-0.0057512440540856856	0.0008373825519813733	-6.868120240238318	2.7269708721728105e-06	-0.0075179668068616895	-0.003984521301309682	1.3907009459281805e-05	True
FV1-AN1	6.173397929692395e-05	0.0008373825519813735	0.07372255267422523	0.942091666153697	-0.001704988773479081	0.001828456732072929	0.991617330199396	False
FV2-AN1	-0.0009665975737126901	0.0008373825519813735	-1.1543082327492666	0.2643434015704573	-0.002733320326488695	0.0008001251790633149	0.503661997985298	False
TMR-AN1	-0.0007042771132357345	0.0008373825519813736	-0.8410458416757173	0.4119966675857577	-0.0024709998660117395	0.0010624456395402708	0.5697700843042017	False
AT-AN2	-0.005742315976967968	0.0008373825519813736	-6.85745835446509	2.7814018918563613e-06	-0.007509038729743973	-0.003975593224191963	1.3907009459281805e-05	True
FV1-AN2	7.066205641464204e-05	0.0008373825519813735	0.08438443844745147	0.9337365537749218	-0.001696060696361363	0.001837384809190647	0.991617330199396	False
FV2-AN2	-0.000957669496594972	0.0008373825519813735	-1.1436463469760405	0.26861973225882557	-0.002724392249370977	0.000809053256181033	0.503661997985298	False
TMR-AN2	-0.0006953490361180164	0.0008373825519813735	-0.8303839559024913	0.41783139515641454	-0.0024620717888940214	0.0010713737166579886	0.5697700843042017	False
FV1-AT	0.005812978033382609	0.0008373825519813735	6.941842792912541	2.379660257498252e-06	0.004046255280606604	0.007579700786158614	1.3907009459281805e-05	True
FV2-AT	0.004784646480372996	0.0008373825519813735	5.71381200748905	2.533868378483972e-05	0.003017923727596991	0.006551369233149001	7.601605135451917e-05	True
TMR-AT	0.005046966940849951	0.0008373825519813735	6.027074398562599	1.359532872481582e-05	0.003280244188073946	0.006813689693625956	5.0982482718059326e-05	True
FV2-FV1	-0.0010283315530096142	0.0008373825519813733	-1.2280307854234922	0.23616738113566105	-0.0027950543057856186	0.0007383911997663902	0.503661997985298	False
TMR-FV1	-0.0007660110925326584	0.0008373825519813734	-0.9147683943499428	0.37310656719935464	-0.002532733845308663	0.0010007116602433464	0.5697700843042017	False
TMR-FV2	0.00026232046047695563	0.0008373825519813733	0.31326239107354925	0.7578920748080439	-0.0015044022922990489	0.00202904321325296	0.9473650935100548	False
