	AB_ratios	Run	Trt	residual	fitted_values
s100	6.560488427382892e-05	rstc_run2	AT	-0.0004799973680288045	0.0005456022523026334
s102	0.0015324465188271347	rstc_run2	AT	0.0009868442665245014	0.0005456022523026334
s104	0.005952370197295795	rstc_run2	FV1	-0.00040621008838944827	0.006358580285685244
s106	0.006686009303578139	rstc_run2	FV1	0.00032742901789289524	0.006358580285685244
s108	0.003471821131364032	rstc_run2	FV2	-0.0018584276013115966	0.005330248732675629
s110	0.005106052071462646	rstc_run2	FV2	-0.00022419666121298223	0.005330248732675629
s11	0.005491387808611985	rstc_run1	TMR	-0.00043706424271311786	0.005928452051325103
s13	0.00565087779196274	rstc_run1	AN1	-0.000981851372598098	0.006632729164560838
s15	0.006156993229378592	rstc_run1	AN1	-0.0004757359351822456	0.006632729164560838
s17	0.006943880805004433	rstc_run1	AN2	0.0003200797175613142	0.006623801087443119
s19	0.005262316691704645	rstc_run1	AN2	-0.0013614843957384737	0.006623801087443119
s21	0.00029210063648564045	rstc_run1	AT	-0.0005893844739895116	0.000881485110475152
s23	0.0009640226859689657	rstc_run1	AT	8.253757549381367e-05	0.000881485110475152
s25	0.006457277311448615	rstc_run1	FV1	-0.00023718583240914682	0.006694463143857762
s27	0.0070104300467634575	rstc_run1	FV1	0.0003159669029056955	0.006694463143857762
s29	0.006092457240907282	rstc_run1	FV2	0.0004263256500591341	0.005666131590848148
s31	0.007322430203313598	rstc_run1	FV2	0.0016562986124654504	0.005666131590848148
s88	0.005155886794685728	rstc_run2	TMR	-0.0004366823984668566	0.0055925691931525846
s90	0.005184818040187377	rstc_run2	TMR	-0.0004077511529652078	0.0055925691931525846
s92	0.005065093575071678	rstc_run2	AN1	-0.001231752731316641	0.006296846306388319
s94	0.008986186345485312	rstc_run2	AN1	0.002689340039096993	0.006296846306388319
s96	0.006177516049236704	rstc_run2	AN2	-0.00011040218003389654	0.006287918229270601
s98	0.007439725087481663	rstc_run2	AN2	0.0011518068582110621	0.006287918229270601
s9	0.007209949845470289	rstc_run1	TMR	0.0012814977941451857	0.005928452051325103
