	AE_ratios	BS	Trt	Run	residual	fitted_values
s123	251.0535636205575	FL	TMR	rstc_run2	-41.31919799160528	292.3727616121628
s124	429.4661377708968	FL	TMR	rstc_run2	137.09337615873403	292.3727616121628
s125	214.85289194725559	FL	AN1	rstc_run2	-68.82492214990086	283.67781409715644
s126	163.35730717191842	FL	AN1	rstc_run2	-120.32050692523802	283.67781409715644
s127	328.8570268075584	FL	AN2	rstc_run2	45.06889343602262	283.78813337153576
s128	253.26099547511294	FL	AN2	rstc_run2	-30.52713789642283	283.78813337153576
s129	4.16213787270063	FL	AT	rstc_run2	-22.056372584048045	26.218510456748675
s130	149.33955996079675	FL	AT	rstc_run2	123.12104950404807	26.218510456748675
s131	224.0028018129945	FL	FV1	rstc_run2	-65.2300116340042	289.2328134469987
s132	251.95760772221777	FL	FV1	rstc_run2	-37.27520572478093	289.2328134469987
s133	274.26391673840993	FL	FV2	rstc_run2	-41.41505815256318	315.6789748909731
s134	159.00486261646404	FL	FV2	rstc_run2	-156.67411227450907	315.6789748909731
s44	362.37926727733844	FL	TMR	rstc_run1	21.624568026569193	340.75469925076925
s45	223.35595305706818	FL	TMR	rstc_run1	-117.39874619370107	340.75469925076925
s46	507.677000327621	FL	AN1	rstc_run1	175.61724859185807	332.0597517357629
s47	345.5879322190425	FL	AN1	rstc_run1	13.528180483279584	332.0597517357629
s48	396.79118954625824	FL	AN2	rstc_run1	64.621118536116	332.17007101014224
s49	253.0071969344249	FL	AN2	rstc_run1	-79.16287407571733	332.17007101014224
s50	15.1824716164358	FL	AT	rstc_run1	-59.41797647891935	74.60044809535515
s51	32.95374765427211	FL	AT	rstc_run1	-41.64670044108304	74.60044809535515
s52	401.6045303870063	FL	FV1	rstc_run1	63.98977930140114	337.6147510856052
s53	376.13018914298755	FL	FV1	rstc_run1	38.51543805738237	337.6147510856052
s54	416.76087283700735	FL	FV2	rstc_run1	52.69996030742777	364.0609125295796
s55	509.45012264922246	FL	FV2	rstc_run1	145.38921011964288	364.0609125295796
s100	0.013356428376191469	FR	AT	rstc_run2	23.912177168314876	-23.898820739938685
s102	0.16869278172408136	FR	AT	rstc_run2	24.067513521662768	-23.898820739938685
s104	0.5025974425575408	FR	FV1	rstc_run2	22.63696337641994	-22.134365933862398
s106	0.19075220606311435	FR	FV1	rstc_run2	22.32511813992551	-22.134365933862398
s108	0.4211789203563925	FR	FV2	rstc_run2	22.212470782024464	-21.79129186166807
s110	1.7090117168343026	FR	FV2	rstc_run2	23.500303578502376	-21.79129186166807
s11	3.620787363107272	FR	TMR	rstc_run1	-24.3981685525851	28.018955915692374
s13	6.081277620209875	FR	AN1	rstc_run1	-20.70251616615323	26.783793786363105
s15	3.3754938946804853	FR	AN1	rstc_run1	-23.40829989168262	26.783793786363105
s17	3.0830788546169354	FR	AN2	rstc_run1	-24.606733668600832	27.689812523217768
s19	4.999319099827162	FR	AN2	rstc_run1	-22.690493423390606	27.689812523217768
s21	0.17521363894803335	FR	AT	rstc_run1	-24.307903259719755	24.483116898667788
s23	0.8113294684091137	FR	AT	rstc_run1	-23.671787430258675	24.483116898667788
s25	2.0816903220697967	FR	FV1	rstc_run1	-24.16588138267428	26.247571704744075
s27	5.451371571072409	FR	FV1	rstc_run1	-20.796200133671668	26.247571704744075
s29	2.8617542791550914	FR	FV2	rstc_run1	-23.72889149778331	26.590645776938402
s31	4.606762914194198	FR	FV2	rstc_run1	-21.983882862744203	26.590645776938402
s88	0.4876733824336621	FR	TMR	rstc_run2	20.850655105347762	-20.3629817229141
s90	7.0829796893200685	FR	TMR	rstc_run2	27.44596141223417	-20.3629817229141
s92	0.07670544723022418	FR	AN1	rstc_run2	21.674849299473593	-21.598143852243368
s94	0.8378229061182844	FR	AN1	rstc_run2	22.43596675836165	-21.598143852243368
s96	4.738364023318199	FR	AN2	rstc_run2	25.430489138706903	-20.692125115388706
s98	1.174612837895194	FR	AN2	rstc_run2	21.8667379532839	-20.692125115388706
s9	4.120507950694492	FR	TMR	rstc_run1	-23.89844796499788	28.018955915692374
