	EB_ratios	BS	Trt	Run	residual	fitted_values
s123	0.00016244782375846945	FL	TMR	rstc_run2	-0.0030664986440345427	0.003228946467793012
s124	9.131659732872096e-05	FL	TMR	rstc_run2	-0.003137629870464291	0.003228946467793012
s125	0.00027554964047860075	FL	AN1	rstc_run2	-0.0030198640162449495	0.00329541365672355
s126	0.00024263791342810792	FL	AN1	rstc_run2	-0.0030527757432954423	0.00329541365672355
s127	0.00014551519124047808	FL	AN2	rstc_run2	-0.003103816599328219	0.003249331790568697
s128	0.00018618827412197967	FL	AN2	rstc_run2	-0.0030631435164467174	0.003249331790568697
s129	0.00032731457614550857	FL	AT	rstc_run2	-0.003006817450493462	0.0033341320266389706
s130	0.0003010099982137914	FL	AT	rstc_run2	-0.0030331220284251794	0.0033341320266389706
s131	0.00020492066268989846	FL	FV1	rstc_run2	-0.0030462427644145054	0.003251163427104404
s132	0.00017171387379916664	FL	FV1	rstc_run2	-0.0030794495533052373	0.003251163427104404
s133	0.000164503373222247	FL	FV2	rstc_run2	-0.0030832557235135213	0.003247759096735768
s134	0.00027170075039480206	FL	FV2	rstc_run2	-0.002976058346340966	0.003247759096735768
s44	0.00012290555276232712	FL	TMR	rstc_run1	0.003077123108698384	-0.0029542175559360566
s45	0.00017278784986445736	FL	TMR	rstc_run1	0.003127005405800514	-0.0029542175559360566
s46	0.00015512883601382334	FL	AN1	rstc_run1	0.003042879203019342	-0.0028877503670055185
s47	0.00014201018951558566	FL	AN1	rstc_run1	0.003029760556521104	-0.0028877503670055185
s48	0.00012409849083488034	FL	AN2	rstc_run1	0.003057930723995252	-0.0029338322331603716
s49	0.00017519715861934496	FL	AN2	rstc_run1	0.0031090293917797164	-0.0029338322331603716
s50	0.0001993136272287852	FL	AT	rstc_run1	0.003048345624318883	-0.002849031997090098
s51	0.00014256185750968902	FL	AT	rstc_run1	0.002991593854599787	-0.002849031997090098
s52	0.00013327045127839936	FL	FV1	rstc_run1	0.003065271047903064	-0.0029320005966246647
s53	0.00012842067319205418	FL	FV1	rstc_run1	0.003060421269816719	-0.0029320005966246647
s54	0.00010925385943977856	FL	FV2	rstc_run1	0.0030446587864330792	-0.0029354049269933007
s55	7.925035642815404e-05	FL	FV2	rstc_run1	0.003014655283421455	-0.0029354049269933007
s100	0.004911858352100554	FR	AT	rstc_run2	-0.002392577573783739	0.0073044359258842935
s102	0.0090842447623731	FR	AT	rstc_run2	0.001779808836488807	0.0073044359258842935
s104	0.011843216246796415	FR	FV1	rstc_run2	-0.004068842493942215	0.01591205874073863
s106	0.03505075742802121	FR	FV1	rstc_run2	0.01913869868728258	0.01591205874073863
s108	0.008243102784978536	FR	FV2	rstc_run2	0.0014142096189296684	0.006828893166048867
s110	0.0029877220976114024	FR	FV2	rstc_run2	-0.003841171068437465	0.006828893166048867
s11	0.0015166280860799872	FR	TMR	rstc_run1	0.0009655028637689605	0.0005511252223110268
s13	0.0009292254267726917	FR	AN1	rstc_run1	-0.015857174655506588	0.01678640008227928
s15	0.001824027363545682	FR	AN1	rstc_run1	-0.014962372718733599	0.01678640008227928
s17	0.002252255337097822	FR	AN2	rstc_run1	0.0026082490194215464	-0.0003559936823237242
s19	0.001052606682355318	FR	AN2	rstc_run1	0.0014086003646790423	-0.0003559936823237242
s21	0.0016671112947564237	FR	AT	rstc_run1	0.0005458393926011998	0.0011212719021552239
s23	0.001188201246848902	FR	AT	rstc_run1	6.692934469367819e-05	0.0011212719021552239
s25	0.003101939439785756	FR	FV1	rstc_run1	-0.006626955277223805	0.009728894717009561
s27	0.001285993800893001	FR	FV1	rstc_run1	-0.00844290091611656	0.009728894717009561
s29	0.00212892395594007	FR	FV2	rstc_run1	0.0014831948136202716	0.0006457291423197986
s31	0.0015894957782072916	FR	FV2	rstc_run1	0.000943766635887493	0.0006457291423197986
s88	0.010572417893623873	FR	TMR	rstc_run2	0.003838128647583778	0.0067342892460400955
s90	0.0007320108580863506	FR	TMR	rstc_run2	-0.006002278387953745	0.0067342892460400955
s92	0.06603303621800517	FR	AN1	rstc_run2	0.04306347211199682	0.02296956410600835
s94	0.010725639368251693	FR	AN1	rstc_run2	-0.012243924737756656	0.02296956410600835
s96	0.0013037233988009832	FR	AN2	rstc_run2	-0.004523446942604361	0.0058271703414053445
s98	0.006333767899909058	FR	AN2	rstc_run2	0.0005065975585037139	0.0058271703414053445
s9	0.0017497720989120007	FR	TMR	rstc_run1	0.001198646876600974	0.0005511252223110268
