	ratios	BS	Trt	Run	residual	fitted_values
s123	14.748757984386456	FL	TMR	rstc_run2	-6.004917080453554	20.75367506484001
s124	21.99557522124292	FL	TMR	rstc_run2	1.2419001564029095	20.75367506484001
s125	24.408376963348765	FL	AN1	rstc_run2	8.100454015149246	16.30792294819952
s126	18.984590429849142	FL	AN1	rstc_run2	2.6766674816496234	16.30792294819952
s127	15.29160530191692	FL	AN2	rstc_run2	1.194534331680165	14.097070970236755
s128	17.432681242810283	FL	AN2	rstc_run2	3.3356102725735273	14.097070970236755
s129	7.681818181820817	FL	AT	rstc_run2	1.4521824449251577	6.229635736895659
s130	0.16681127375520421	FL	AT	rstc_run2	-6.062824463140455	6.229635736895659
s131	16.3153153153164	FL	FV1	rstc_run2	-0.3825027261890206	16.69781804150542
s132	25.20164986251754	FL	FV1	rstc_run2	8.50383182101212	16.69781804150542
s133	21.174196351000415	FL	FV2	rstc_run2	8.881264738370216	12.292931612630198
s134	4.225031835546886	FL	FV2	rstc_run2	-8.067899777083312	12.292931612630198
s44	16.225319396051493	FL	TMR	rstc_run1	2.305249854453354	13.920069541598139
s45	16.377836611195374	FL	TMR	rstc_run1	2.457767069597235	13.920069541598139
s46	4.171513353116009	FL	AN1	rstc_run1	-5.302804071841638	9.474317424957647
s47	4.000000000000403	FL	AN1	rstc_run1	-5.474317424957244	9.474317424957647
s48	4.891819571865624	FL	AN2	rstc_run1	-2.3716458751292597	7.263465446994884
s49	5.104966717870424	FL	AN2	rstc_run1	-2.15849872912446	7.263465446994884
s50	2.075268817204339	FL	AT	rstc_run1	2.6792386035505515	-0.6039697863462123
s51	1.3274336283184807	FL	AT	rstc_run1	1.931403414664693	-0.6039697863462123
s52	6.650945314088732	FL	FV1	rstc_run1	-3.213267204174816	9.864212518263548
s53	4.956150627615255	FL	FV1	rstc_run1	-4.908061890648293	9.864212518263548
s54	4.4316190868804215	FL	FV2	rstc_run1	-1.0277070025079045	5.459326089388326
s55	5.6736681306092995	FL	FV2	rstc_run1	0.21434204122097356	5.459326089388326
s100	0.0	FR	AT	rstc_run2	-4.665086620619162	4.665086620619162
s102	0.18599257884971007	FR	AT	rstc_run2	-4.479094041769452	4.665086620619162
s104	12.114143920597327	FR	FV1	rstc_run2	-0.4396873931089207	12.553831313706247
s106	12.172661870508078	FR	FV1	rstc_run2	-0.3811694431981696	12.553831313706247
s108	10.115044247788646	FR	FV2	rstc_run2	0.1610159399664859	9.95402830782216
s110	7.1964529331517	FR	FV2	rstc_run2	-2.75757537467046	9.95402830782216
s11	10.44973544973599	FR	TMR	rstc_run1	4.027219627518548	6.422515822217441
s13	2.2300884955752247	FR	AN1	rstc_run1	-3.7141009431775034	5.944189438752728
s15	4.2843205574912835	FR	AN1	rstc_run1	-1.6598688812614446	5.944189438752728
s17	4.25732899022802	FR	AN2	rstc_run1	-1.1873948815084372	5.444723871736457
s19	9.156498673740177	FR	AN2	rstc_run1	3.7117748020037205	5.444723871736457
s21	3.200000000000083	FR	AT	rstc_run1	5.368518902622792	-2.1685189026227096
s23	1.607142857143078	FR	AT	rstc_run1	3.7756617597657876	-2.1685189026227096
s25	6.194214876033177	FR	FV1	rstc_run1	0.47398908556880137	5.720225790464376
s27	6.067093541202666	FR	FV1	rstc_run1	0.3468677507382898	5.720225790464376
s29	2.658115316230634	FR	FV2	rstc_run1	-0.4623074683496542	3.1204227845802883
s31	6.179289687633898	FR	FV2	rstc_run1	3.0588669030536098	3.1204227845802883
s88	7.346774193549295	FR	TMR	rstc_run2	-5.90934715191002	13.256121345459315
s90	14.009174311928481	FR	TMR	rstc_run2	0.7530529664691663	13.256121345459315
s92	22.69999999999932	FR	AN1	rstc_run2	9.922205038004721	12.7777949619946
s94	8.22955974842882	FR	AN1	rstc_run2	-4.54823521356578	12.7777949619946
s96	10.811059907835627	FR	AN2	rstc_run2	-1.4672694871427012	12.278329394978329
s98	11.22121896162573	FR	AN2	rstc_run2	-1.057110433352598	12.278329394978329
s9	7.551590380139705	FR	TMR	rstc_run1	1.1290745579222632	6.422515822217441
