	sType	Function	Trt	All_functions	Sig_functions	Sig_%	Pos_functions	Pos_%	Neg_functions	Neg_%
0	FL	Metabolism	AN1	3858.0	174.0	4.5101088646967336	128.0	3.3177812337998964	46.0	-1.1923276308968378
1	FL	Metabolism	AN2	3858.0	82.0	2.1254536029030584	59.0	1.5292897874546396	23.0	-0.5961638154484189
2	FL	Metabolism	AT	3858.0	1094.0	28.356661482633488	618.0	16.018662519440124	476.0	-12.337998963193364
3	FL	Metabolism	FV1	3858.0	214.0	5.546915500259201	119.0	3.084499740798341	95.0	-2.4624157594608604
4	FL	Metabolism	FV2	3858.0	243.0	6.298600311041991	159.0	4.121306376360809	84.0	-2.177293934681182
5	FL	Methane metabolism	AN1	91.0	6.0	6.593406593406594	2.0	2.197802197802198	4.0	-4.395604395604396
6	FL	Methane metabolism	AN2	91.0	1.0	1.098901098901099	0.0	0.0	1.0	-1.098901098901099
7	FL	Methane metabolism	AT	91.0	69.0	75.82417582417582	10.0	10.989010989010989	59.0	-64.83516483516483
8	FL	Methane metabolism	FV1	91.0	5.0	5.4945054945054945	1.0	1.098901098901099	4.0	-4.395604395604396
9	FL	Methane metabolism	FV2	91.0	3.0	3.296703296703297	0.0	0.0	3.0	-3.296703296703297
10	FR	Metabolism	AN1	3700.0	55.0	1.4864864864864866	52.0	1.4054054054054055	3.0	-0.08108108108108107
11	FR	Metabolism	AN2	3700.0	68.0	1.8378378378378377	63.0	1.7027027027027026	5.0	-0.13513513513513514
12	FR	Metabolism	AT	3700.0	299.0	8.08108108108108	96.0	2.5945945945945943	203.0	-5.486486486486487
13	FR	Metabolism	FV1	3700.0	86.0	2.324324324324324	85.0	2.2972972972972974	1.0	-0.02702702702702703
14	FR	Metabolism	FV2	3700.0	56.0	1.5135135135135136	54.0	1.4594594594594594	2.0	-0.05405405405405406
15	FR	Methane metabolism	AN1	88.0	1.0	1.1363636363636365	1.0	1.1363636363636365	0.0	-0.0
16	FR	Methane metabolism	AN2	88.0	8.0	9.090909090909092	6.0	6.8181818181818175	2.0	-2.272727272727273
17	FR	Methane metabolism	AT	88.0	62.0	70.45454545454545	2.0	2.272727272727273	60.0	-68.18181818181817
18	FR	Methane metabolism	FV1	88.0	1.0	1.1363636363636365	1.0	1.1363636363636365	0.0	-0.0
19	FR	Methane metabolism	FV2	88.0	2.0	2.272727272727273	1.0	1.1363636363636365	1.0	-1.1363636363636365
