#SampleID	BS	Day	rstc_run	Day_num	Trt
s1	RSP	d0	rstc_run1	0	NoT
s4	RF	d0	rstc_run1	0	NoT
s9	FR	d13	rstc_run1	13	TMR
s11	FR	d13	rstc_run1	13	TMR
s13	FR	d13	rstc_run1	13	AN1
s15	FR	d13	rstc_run1	13	AN1
s17	FR	d13	rstc_run1	13	AN2
s19	FR	d13	rstc_run1	13	AN2
s21	FR	d13	rstc_run1	13	AT
s23	FR	d13	rstc_run1	13	AT
s25	FR	d13	rstc_run1	13	FV1
s27	FR	d13	rstc_run1	13	FV1
s29	FR	d13	rstc_run1	13	FV2
s31	FR	d13	rstc_run1	13	FV2
s44	FL	d13	rstc_run1	13	TMR
s45	FL	d13	rstc_run1	13	TMR
s46	FL	d13	rstc_run1	13	AN1
s47	FL	d13	rstc_run1	13	AN1
s48	FL	d13	rstc_run1	13	AN2
s49	FL	d13	rstc_run1	13	AN2
s50	FL	d13	rstc_run1	13	AT
s51	FL	d13	rstc_run1	13	AT
s52	FL	d13	rstc_run1	13	FV1
s53	FL	d13	rstc_run1	13	FV1
s54	FL	d13	rstc_run1	13	FV2
s55	FL	d13	rstc_run1	13	FV2
s80	RSP	d0	rstc_run2	0	NoT
s83	RF	d0	rstc_run2	0	NoT
s88	FR	d13	rstc_run2	13	TMR
s90	FR	d13	rstc_run2	13	TMR
s92	FR	d13	rstc_run2	13	AN1
s94	FR	d13	rstc_run2	13	AN1
s96	FR	d13	rstc_run2	13	AN2
s98	FR	d13	rstc_run2	13	AN2
s100	FR	d13	rstc_run2	13	AT
s102	FR	d13	rstc_run2	13	AT
s104	FR	d13	rstc_run2	13	FV1
s106	FR	d13	rstc_run2	13	FV1
s108	FR	d13	rstc_run2	13	FV2
s110	FR	d13	rstc_run2	13	FV2
s123	FL	d13	rstc_run2	13	TMR
s124	FL	d13	rstc_run2	13	TMR
s125	FL	d13	rstc_run2	13	AN1
s126	FL	d13	rstc_run2	13	AN1
s127	FL	d13	rstc_run2	13	AN2
s128	FL	d13	rstc_run2	13	AN2
s129	FL	d13	rstc_run2	13	AT
s130	FL	d13	rstc_run2	13	AT
s131	FL	d13	rstc_run2	13	FV1
s132	FL	d13	rstc_run2	13	FV1
s133	FL	d13	rstc_run2	13	FV2
s134	FL	d13	rstc_run2	13	FV2
